5.9.2021 12:58:53 , Method: POST, Route: /api/auth/register
5.9.2021 13:01:00 , Method: POST, Route: /api/auth/register
5.9.2021 13:03:07 , Method: POST, Route: /api/auth/register
5.9.2021 13:05:10 , Method: POST, Route: /api/auth/login
5.9.2021 13:05:40 , Method: POST, Route: /api/auth/login
5.9.2021 13:05:49 , Method: POST, Route: /api/auth/login
5.9.2021 13:06:42 , Method: POST, Route: /api/auth/login
5.9.2021 13:07:28 , Method: POST, Route: /api/auth/login
5.9.2021 13:10:39 , Method: POST, Route: /api/auth/login
5.9.2021 18:21:39 , Method: GET, Route: /api/products
5.9.2021 18:21:39 , Method: GET, Route: /api/products/images/undefined
5.9.2021 18:21:46 , Method: GET, Route: /api/products/images/undefined
5.9.2021 18:21:50 , Method: GET, Route: /api/products/images/undefined
5.9.2021 18:22:17 , Method: POST, Route: /api/products
5.9.2021 19:22:34 , Method: POST, Route: /api/auth/login
5.9.2021 19:22:46 , Method: POST, Route: /api/auth/login
8.9.2021 12:21:30 , Method: GET, Route: /api/products
8.9.2021 12:21:30 , Method: GET, Route: /api/products/images/undefined
8.9.2021 12:46:57 , Method: GET, Route: /api/products
8.9.2021 13:23:02 , Method: GET, Route: /api/employees
8.9.2021 13:23:09 , Method: GET, Route: /api/employee
8.9.2021 13:23:12 , Method: GET, Route: /api/employees
8.9.2021 13:26:09 , Method: GET, Route: /api/employees
8.9.2021 13:27:04 , Method: GET, Route: /api/employees
8.9.2021 13:27:56 , Method: GET, Route: /api/employees
8.9.2021 13:28:26 , Method: GET, Route: /api/employees/5
8.9.2021 14:01:39 , Method: GET, Route: /api/products
8.9.2021 14:01:56 , Method: GET, Route: /api/employees
8.9.2021 14:03:42 , Method: DELETE, Route: /api/employees/10
8.9.2021 14:04:53 , Method: POST, Route: /api/employees
8.9.2021 14:04:55 , Method: POST, Route: /api/employees
8.9.2021 14:05:06 , Method: POST, Route: /api/employees
8.9.2021 14:07:51 , Method: POST, Route: /api/employees
8.9.2021 14:11:22 , Method: POST, Route: /api/employees
8.9.2021 14:14:05 , Method: POST, Route: /api/employees
8.9.2021 14:15:28 , Method: POST, Route: /api/employees
8.9.2021 14:16:42 , Method: POST, Route: /api/employees
8.9.2021 14:18:50 , Method: POST, Route: /api/employees
8.9.2021 14:21:10 , Method: POST, Route: /api/employees
8.9.2021 14:21:56 , Method: POST, Route: /api/employees
8.9.2021 14:22:49 , Method: POST, Route: /api/employees
8.9.2021 14:23:32 , Method: POST, Route: /api/employees
8.9.2021 14:25:49 , Method: POST, Route: /api/employees
8.9.2021 14:26:36 , Method: POST, Route: /api/employees
8.9.2021 14:27:18 , Method: POST, Route: /api/employees
8.9.2021 14:27:32 , Method: POST, Route: /api/employees
8.9.2021 14:28:32 , Method: POST, Route: /api/employees
8.9.2021 14:29:37 , Method: POST, Route: /api/employees
8.9.2021 14:42:15 , Method: POST, Route: /api/employees
8.9.2021 14:43:45 , Method: GET, Route: /api/products
8.9.2021 14:43:54 , Method: GET, Route: /api/employees
8.9.2021 15:07:11 , Method: GET, Route: /api/employees
8.9.2021 15:07:25 , Method: GET, Route: /api/products
8.9.2021 19:24:59 , Method: GET, Route: /api/employees
8.9.2021 19:25:09 , Method: GET, Route: /api/employees
8.9.2021 19:25:50 , Method: GET, Route: /api/employees
8.9.2021 21:35:37 , Method: GET, Route: /api/employees
8.9.2021 21:36:20 , Method: GET, Route: /api/employees
8.9.2021 21:37:54 , Method: GET, Route: /api/products
8.9.2021 21:38:35 , Method: GET, Route: /api/products
